conceptId	en	ru	aliases
FMA9577	abdomen		
FMA61680	abdomen proper		
FMA3789	abdominal aorta		
FMA45875	abdominal part of left pectoralis major		
FMA34699	abdominal part of pectoralis major		
FMA45874	abdominal part of right pectoralis major		
FMA259211	abdominal segment of trunk		
FMA37451	abductor digiti minimi of foot		
FMA37382	abductor digiti minimi of hand		
FMA37464	abductor digiti minimi of left foot		
FMA37397	abductor digiti minimi of left hand		
FMA37463	abductor digiti minimi of right foot		
FMA37396	abductor digiti minimi of right hand		
FMA37448	abductor hallucis		
FMA37373	abductor pollicis brevis		
FMA38515	abductor pollicis longus		
FMA5011	accessory hemiazygos vein		
FMA68734	accessory subsuperior branch of posterior basal segmental artery		
FMA68735	accessory subsuperior branch of right posterior basal segmental artery		
FMA23069	acromial branch of left thoraco-acromial artery		
FMA23068	acromial branch of right thoraco-acromial artery		
FMA23065	acromial branch of thoraco-acromial artery		
FMA34678	acromial part of deltoid		
FMA34683	acromial part of left deltoid		
FMA34682	acromial part of right deltoid		
FMA22442	adductor brevis		
FMA22441	adductor longus		
FMA22443	adductor magnus		
FMA43885	adductor minimus		
FMA7152	alimentary system		
FMA61841	amygdala		
FMA20347	anal part of perineum		
FMA3726	anastomosis		
FMA50705	anatomical boundary entity		
FMA49443	anatomical cluster		
FMA84926	anatomical compartment space		
FMA62955	anatomical entity		
FMA5898	anatomical junction		
FMA9657	anatomical line		
FMA55652	anatomical set		
FMA67135	anatomical structure		
FMA37704	anconeus		
FMA61898	angular gyrus		
FMA14627	anterior abdominal wall		
FMA8717	anterior basal segmental artery		
FMA68219	anterior basal segmental bronchial tree		
FMA13290	anterior basal segmental vein		
FMA13914	anterior branch of anterior interventricular branch of left coronary artery		
FMA68682	anterior branch of anterior segmental artery		
FMA68691	anterior branch of lateral segmental artery		
FMA68683	anterior branch of right anterior segmental artery		
FMA15419	anterior branch of right portal vein		
FMA76767	anterior cardiac vein		
FMA4717	anterior cardiac venous tree		
FMA14816	anterior cecal artery		
FMA50028	anterior cerebral artery		
FMA58078	anterior chamber of eyeball		
FMA58082	anterior chamber of left eyeball		
FMA58081	anterior chamber of right eyeball		
FMA24816	anterior chest		
FMA87543	anterior chest wall		
FMA50087	anterior choroidal artery		
FMA22680	anterior circumflex humeral artery		
FMA77499	anterior circumflex humeral vein		
FMA61961	anterior commissure		
FMA50169	anterior communicating artery		
FMA70487	anterior division of left renal artery		
FMA70485	anterior division of renal artery		
FMA70486	anterior division of right renal artery		
FMA52675	anterior ethmoidal nerve		
FMA50544	anterior inferior cerebellar artery		
FMA70479	anterior inferior pancreaticoduodenal artery		
FMA15421	anterior inferior segmental branch of right portal vein		
FMA70443	anterior inferior segmental hepatic artery		
FMA15800	anterior inferior segmental tributary of middle hepatic vein		
FMA71868	anterior inferior tributary of right hepatic biliary tree		
FMA22810	anterior interosseous artery		
FMA3862	anterior interventricular branch of left coronary artery		
FMA66403	anterior interventricular vein		
FMA7260	anterior papillary muscle of right ventricle		
FMA50485	anterior parietal artery		
FMA68664	anterior part of apical segmental artery		
FMA68920	anterior part of apical segmental vein		
FMA68945	anterior part of lateral segmental vein		
FMA73056	anterior part of left knee		
FMA72801	anterior part of left superior temporal gyrus		
FMA68665	anterior part of right apical segmental artery		
FMA68921	anterior part of right apical segmental vein		
FMA73055	anterior part of right knee		
FMA72800	anterior part of right superior temporal gyrus		
FMA70701	anterior part of superior temporal gyrus		
FMA15750	anterior sector of left liver		
FMA15748	anterior sector of right liver		
FMA13278	anterior segmental artery		
FMA68235	anterior segmental bronchial tree		
FMA70441	anterior segmental hepatic artery		
FMA13442	anterior segmental vein		
FMA50531	anterior spinal artery		
